Account Number,Agency Alias,Account Name,Delivery Address Street 1,Delivery Address: ZIP Code,Borough,Healthy Neighborhood,Segment,Kosher,Primary Contact,Main Phone,Last Site Monitoring Date,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,4,40,5
R43,BK124,Calvary Pentecostal Church,151-153 Woodruff Avenue,11218,Brooklyn,N/A,Core,No,John Noel,(718) 469-8252,9/20/12,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1
R46,BK127,Brown Memorial Baptist Church,484 Washington Avenue,11238,Brooklyn,N/A,Core,No,Sheila Coleman,(718) 638-6121,4/24/14,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1
R48,BK129,Shiloh SDA Church,449 Eastern Parkway,11216,Brooklyn,N/A,Rising Star,No,Sarah Peterson,(718) 773-9257,3/15/13,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1
R50,BK13,St. John's Bread and Life Program,795 Lexington Avenue,11221,Brooklyn,Bed-Stuy,Rising Star,No,Christy Robb,(718) 574-0058,3/15/13,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1
R51,BK130,Mizpah Assemblies Inc.,69 East 95th Street,11212,Brooklyn,N/A,Mature Star,No,Ivy Malcolmn,(347) 791-0255,4/3/14,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
R52,BK131,Redemption Community World Ministry,1011 Utica Avenue,11203,Brooklyn,N/A,Core,No,Richard Manmohan,(347) 499-4663,8/7/13,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1
R56,BK135,St. Phillip's Episcopal Church,265 Decatur Street,11233,Brooklyn,Bed-Stuy,Rising Star,No,Unell Burton,(718) 778-0962,3/5/14,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1
R57,BK136,Northeast Brooklyn Housing Development Corporation,376 Throop Avenue,11221,Brooklyn,Bed-Stuy,Rising Star,No,Lisa Everret,(718) 384-3476,5/16/14,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1
R58,BK137,More Grace Redemptive Center Inc.,646 Parkside Avenue,11226,Brooklyn,N/A,Rising Star,No,Terry Smith,(646) 671-8113,3/27/14,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1
R59,BK138,Thurston Memorial Outreach Ministries,1243 Bushwick Avenue,11233,Brooklyn,N/A,Core,No,Mildred Rogers,(718) 452-3646,10/25/12,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1
R63,BK140,Mount Sinai Baptist Church,84 Quincy Street,11238,Brooklyn,Bed-Stuy,Core,No,Doretha Haywood,(718) 638-5227,6/4/14,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1
R65,BK142,Hebron SDA French Church,1256 Dean Street,11216,Brooklyn,N/A,Core,No,Carlene Joseph,(718) 778-6454,12/14/12,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1
R68,BK145,Cathedral of Joy Church of God Inc.,43 George Street,11206,Brooklyn,N/A,Core,No,Julio Diaz,(718) 386-8151,3/5/14,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1
R70,BK147,El Divino Salvador,1485 Gates Avenue,11217,Brooklyn,N/A,Core,No,Martha Osorno,(347) 613-5917,3/22/12,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1
R71,BK148,Zion Church of the Truth Community Service,8315 Flatlands Avenue,11236,Brooklyn,N/A,Core,No,Sherley Jeanty,(718) 241-8167,8/22/12,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1
R72,BK149,Unity Faith Outreach,207 Ralph Avenue,11233,Brooklyn,Bed-Stuy,Rising Star,No,Naomi Collins,(646) 641-4194,1/16/14,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1
R75,BK151,St. Stephen Outreach,874 Myrtle Avenue,11206,Brooklyn,Bed-Stuy,Rising Star,No,Sheila Williams,(718) 938-4532,6/4/14,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
R79,BK156,Church of God Inc.,1011 Winthrop Street,11212,Brooklyn,N/A,Core,No,Marie Beaujour,(718) 826-0685,12/22/12,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1
R85,BK160,International Pentecostal City Mission,9202-14 Church Avenue,11236,Brooklyn,N/A,Rising Star,No,Denise Valentine,(516) 817-7922,6/12/14,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1
R88,BK163,Our Lady of Refuge R.C. Church,2020 Foster Avenue,11210,Brooklyn,N/A,Rising Star,No,Judy Agard,(718) 434-2090,5/16/14,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1
R89,BK164,Stuyvesant Heights Christian Center,69 MacDonough Street,11216,Brooklyn,Bed-Stuy,Core,No,Georgia Mc. Rodgers,(347) 200-5029,6/4/14,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1
R92,BK167,Ammi Evangelical Baptist Church,1799 Flatbush Avenue,11210,Brooklyn,N/A,Core,No,Hormere Liverdieu,(718) 282-7565,8/9/12,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1
R93,BK168,New Life SDA Church,885 Thomas S Boyland St,11212,Brooklyn,N/A,Rising Star,No,Colleen St.Clair,(718) 342-6829,10/30/13,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1
R96,BK171,Church of God in Christ on the Hill,137 Buffalo Avenue,11213,Brooklyn,N/A,Core,No,Evelyn Lucas,(718) 773-3780,10/30/13,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1
R99,BK175,Emmaus S.D.A. Church,1144 Flatbush Avenue,11226,Brooklyn,N/A,Core,No,Lilian Gooden,(347) 217-2860,1/16/13,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1
R101,BK177,Newman Memorial United Methodist Church,257 Macon Street,11216,Brooklyn,Bed-Stuy,Core,No,Gwendolyn Lewis,(917) 972-0877,3/27/14,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1
R102,BK178,Union Baptist Church Community,461 Decatur Street,11233,Brooklyn,Bed-Stuy,Rising Star,No,Olivia High,(718) 452-7248,3/5/14,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1
R105,BK181,Agape Social Services-Beulah Church,929 Marcy Avenue,11216,Brooklyn,Bed-Stuy,Core,No,Edward Hargett,(718) 484-3823,12/12/14,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1
R107,BK183,SA - Sunset Park Corps,520 50th Street,11220,Brooklyn,N/A,Core,No,Frances Perez,(718) 438-1771,8/9/12,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1
R108,BK184,ACTS Community Development Corps,2114 Mermaid Avenue,11224,Brooklyn,N/A,Rising Star,No,Denise Robbins,(718) 415-1170,8/22/12,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1
R110,BK186,Worldwide Evangelical Outreach,3102 Clarendon Road,11226,Brooklyn,N/A,Core,No,Una Mills,(718) 809-2939,4/3/14,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1
R111,BK187,Good News Deliverance Tabernacle,442 Cleveland Street,11208,Brooklyn,N/A,Core,No,Edna John,(347) 351-9293,3/27/14,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1
R112,BK188,Brownsville SDA Church,1089 Clarkson Avenue,11212,Brooklyn,N/A,Core,No,Carmine Streaker,(347) 661-1068,4/3/14,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1
R118,BK193,Overcoming-Love Ministries Pulaski Family Residence,228 Pulaski Street,11206,Brooklyn,Bed-Stuy,Core,No,Leopoldo Karl,(718) 235-1464,1/23/13,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1
R119,BK194,Movement of Pentecostal,90-92 Summit Street,11237,Brooklyn,N/A,Core,No,Rene Baez,(347) 776-3054,1/23/13,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1
R121,BK196,Horeb SDA Church - Food Pantry,520 Kingston Avenue,11225,Brooklyn,N/A,Core,No,Jesula Orneas,(347) 439-0412,1/16/13,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1
R122,BK197,Brooklyn Rescue Mission,919 Gates Avenue,11221,Brooklyn,Bed-Stuy,Rising Star,No,Robert Jackson,(917) 301-6747,1/16/14,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1
R124,BK199,Bethel Sunshine Camp,344 Tompkins Avenue,11216,Brooklyn,Bed-Stuy,Core,No,Jalle Datlius,(718) 789-0034,3/28/12,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1
R125,BK20,The Center for Family Life,443 39th Street,11232,Brooklyn,N/A,Core,No,Magda Santiago,(718) 492-3585,4/24/14,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,,0,1,1
R126,BK200,Child Development Support Corporation,352-358 Classon Avenue,11238,Brooklyn,Bed-Stuy,Core,No,Mireille Massac,(718) 398-2050,4/17/14,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1
R689,BK201,Holy Innocent Church Inc.,279 East 17th Street,11226,Brooklyn,N/A,Core,No,Joseph Grannum,(347) 249-9452,4/3/13,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1
R690,BK202,CAMBA -Beyond Hunger Emergency Food Pantry,"2241 Church Avenue, 2nd Floor",11225,Brooklyn,N/A,Core,No,Lucila Santana,(718) 282-3082,12/14/12,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1
R691,BK203,The Church of God Seventh Day Pentecostal Inc.,922 St. Marks Avenue,11213,Brooklyn,N/A,Core,No,Joy Tikili,(718) 693-7968,3/15/13,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1
R127,BK21,Neighbors Together,2094 Fulton Street,11233,Brooklyn,N/A,Core,No,Natalie Jean-Louis,(718) 498-7256,1/31/14,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1
R715,BK211,Overcoming Love Ministries - Soup Kitchen,275 Liberty Avenue,11208,Brooklyn,N/A,Core,No,Rafael Marte-Acosta,(718) 235-1464,11/12/14,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1
R716,BK212,Mount Hebron Food for Life Food Pantry,167 Chester Street,11212,Brooklyn,N/A,Core,No,David Moses,(646) 220-1826,3/27/14,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1
R728,BK214,Congregation House of Israel,297 Saratoga Avenue,11233,Brooklyn,N/A,Core,No,Prince Issacher,(347) 236-6223,2/21/13,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1
R729,BK215,The Greenpoint Reformed Church,136 Milton Street,11222,Brooklyn,N/A,Rising Star,No,Ann Kansfield,(718) 383-5941,2/21/13,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1
R730,BK216,Trinity Human Services,153 A Johnson Avenue,11206,Brooklyn,N/A,Rising Star,No,Yadhira Deras,(718) 388-3176,4/16/13,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1
R756,BK222,Gethsemane SDA Church,357 Empire Boulevard,11225,Brooklyn,N/A,Mature Star,No,Guerda Cherry,(347) 296-7573,2/21/13,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1
R132,BK23,Upper Room Gospel Baptist Church,180 Van Buren Street,11221,Brooklyn,Bed-Stuy,Super Star,No,William Bennett,(718) 574-4000,3/15/13,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
R777,BK231,Pentecostal Rescue House,2415 Pitkin Ave,11208,Brooklyn,N/A,Mature Star,No,Elder Glover,(347) 581-3358,4/3/13,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1
R779,BK232,Christ The Rock International,770 Glenmore Avenue,11208,Brooklyn,N/A,Core,No,Georgia Farward,(718) 348-7414,2/21/13,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1
R781,BK233,Unity Fellowship of Christ Church,2578 Atlantic Ave,11207,Brooklyn,N/A,Core,No,Valerie Holly,(718) 385-2406,4/3/13,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1
R783,BK235,Christian Church of Canarsie,606 East 89th Street,11236,Brooklyn,N/A,Rising Star,No,Fred Nurse,(347) 742-7651,1/31/14,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1
R786,BK236,St. Anthony's Baptist Church,425 Utica Ave,11213,Brooklyn,N/A,Core,No,Aleain Williams,(718) 778-3459,6/17/14,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0
R787,BK237,Triumphant Full Gospel,892 Rutland Road,11203,Brooklyn,N/A,Rising Star,No,Barbara Wilson-McDuffie,(917) 567-2652,6/17/14,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1
